Def_Index,year,state,candidate,candidatevotes,Total_Votes,party_simplified,Final_Result (%)
4144,2020,NORTH DAKOTA,"TRUMP, DONALD J.",235595,True,REPUBLICAN,True
4145,2020,NORTH DAKOTA,"BIDEN, JOSEPH R. JR",114902,True,DEMOCRAT,True
4148,2020,OHIO,"TRUMP, DONALD J.",3154834,True,REPUBLICAN,True
4149,2020,OHIO,"BIDEN, JOSEPH R. JR",2679165,True,DEMOCRAT,True
4158,2020,OKLAHOMA,"TRUMP, DONALD J.",1020280,True,REPUBLICAN,True
4159,2020,OKLAHOMA,"BIDEN, JOSEPH R. JR",503890,True,DEMOCRAT,True
4164,2020,OREGON,"TRUMP, DONALD J.",958448,True,REPUBLICAN,True
4165,2020,OREGON,"BIDEN, JOSEPH R. JR",1340383,True,DEMOCRAT,True
4170,2020,PENNSYLVANIA,"TRUMP, DONALD J.",3377674,True,REPUBLICAN,True
4171,2020,PENNSYLVANIA,"BIDEN, JOSEPH R. JR",3458229,True,DEMOCRAT,True
4173,2020,RHODE ISLAND,"BIDEN, JOSEPH R. JR",307486,True,DEMOCRAT,True
4174,2020,RHODE ISLAND,"TRUMP, DONALD J.",199922,True,REPUBLICAN,True
4181,2020,SOUTH CAROLINA,"TRUMP, DONALD J.",1385103,True,REPUBLICAN,True
4184,2020,SOUTH CAROLINA,"BIDEN, JOSEPH R. JR",1091541,True,DEMOCRAT,True
4185,2020,SOUTH DAKOTA,"TRUMP, DONALD J.",261043,True,REPUBLICAN,True
4186,2020,SOUTH DAKOTA,"BIDEN, JOSEPH R. JR",150471,True,DEMOCRAT,True
4188,2020,TENNESSEE,"TRUMP, DONALD J.",1852475,True,REPUBLICAN,True
4189,2020,TENNESSEE,"BIDEN, JOSEPH R. JR",1143711,True,DEMOCRAT,True
4201,2020,TEXAS,"TRUMP, DONALD J.",5890347,True,REPUBLICAN,True
4202,2020,TEXAS,"BIDEN, JOSEPH R. JR",5259126,True,DEMOCRAT,True
4216,2020,UTAH,"BIDEN, JOSEPH R. JR",560282,True,DEMOCRAT,True
4222,2020,UTAH,"TRUMP, DONALD J.",865140,True,REPUBLICAN,True
4228,2020,VERMONT,"BIDEN, JOSEPH R. JR",242820,True,DEMOCRAT,True
4229,2020,VERMONT,"TRUMP, DONALD J.",112704,True,REPUBLICAN,True
4252,2020,VIRGINIA,"BIDEN, JOSEPH R. JR",2413568,True,DEMOCRAT,True
4253,2020,VIRGINIA,"TRUMP, DONALD J.",1962430,True,REPUBLICAN,True
4256,2020,WASHINGTON,"BIDEN, JOSEPH R. JR",2369612,True,DEMOCRAT,True
4257,2020,WASHINGTON,"TRUMP, DONALD J.",1584651,True,REPUBLICAN,True
4263,2020,WEST VIRGINIA,"BIDEN, JOSEPH R. JR",235984,True,DEMOCRAT,True
4264,2020,WEST VIRGINIA,"TRUMP, DONALD J.",545382,True,REPUBLICAN,True
4267,2020,WISCONSIN,"BIDEN, JOSEPH R. JR",1630866,True,DEMOCRAT,True
4268,2020,WISCONSIN,"TRUMP, DONALD J.",1610184,True,REPUBLICAN,True
4280,2020,WYOMING,"BIDEN, JOSEPH R. JR",73491,True,DEMOCRAT,True
4281,2020,WYOMING,"TRUMP, DONALD J.",193559,True,REPUBLICAN,True
