Def_Index,year,state,candidate,candidatevotes,Total_Votes,party_simplified,Final_Result (%),,State,Cases,Deaths,Candidate Winner,Top 10,Top 5,Doses-Mod,Positive Tests,,,,,
3954,2020,KENTUCKY,"BIDEN, JOSEPH R. JR",772474,TRUE,DEMOCRAT,TRUE,,Pennsylvania,923000,23614,Biden,Biden,Trump,,Rep,North Carolina,,,,
3968,2020,LOUISIANA,"BIDEN, JOSEPH R. JR",856034,TRUE,DEMOCRAT,TRUE,,Ohio,955000,16874,Trump,Trump,,,Dem,Nevada,,,,
3970,2020,LOUISIANA,"TRUMP, DONALD J.",1255776,TRUE,REPUBLICAN,TRUE,,Missouri,514000,7885,Trump,,,,Rep,California,,,,
3981,2020,MAINE,"BIDEN, JOSEPH R. JR",435072,TRUE,DEMOCRAT,TRUE,,Kansas,295000,4643,Trump,,,,Rep,Georgia,,,,
3983,2020,MAINE,"TRUMP, DONALD J.",360737,TRUE,REPUBLICAN,TRUE,,Montana,99161,1341,Trump,,,,Rep,North Carolina,,,,
3988,2020,MARYLAND,"TRUMP, DONALD J.",976414,TRUE,REPUBLICAN,TRUE,,Utah,367000,1853,Trump,,,,Rep,Alabama,,,,
3989,2020,MARYLAND,"BIDEN, JOSEPH R. JR",1985023,TRUE,DEMOCRAT,TRUE,,Arizona,811000,15502,Biden,Biden,Trump,,Rep,Georgia,,,,
4014,2020,MASSACHUSETTS,"BIDEN, JOSEPH R. JR",2382202,TRUE,DEMOCRAT,TRUE,,Virginia,567000,7658,Biden,,,,Rep,South Carolina,,,,
4015,2020,MASSACHUSETTS,"TRUMP, DONALD J.",1167202,TRUE,REPUBLICAN,TRUE,,Vermont,14691,198,Biden,,,,Rep,Alabama,,,,
4020,2020,MICHIGAN,"BIDEN, JOSEPH R. JR",2804040,TRUE,DEMOCRAT,TRUE,,Maine,43736,660,Biden,,,,Dem,Louisiana,,,,
4021,2020,MICHIGAN,"TRUMP, DONALD J.",2649852,TRUE,REPUBLICAN,TRUE,,Alaska,57316,287,Trump,,,,Dem,Washington,,,,
4031,2020,MINNESOTA,"TRUMP, DONALD J.",1484065,TRUE,REPUBLICAN,TRUE,,Hawaii,27124,428,Biden,,,,Dem,Wisconsin,,,,
4032,2020,MINNESOTA,"BIDEN, JOSEPH R. JR",1717077,TRUE,DEMOCRAT,TRUE,,Massachusetts,571000,15742,Biden,,,,Rep,California,,,,
4041,2020,MISSISSIPPI,"BIDEN, JOSEPH R. JR",539398,TRUE,DEMOCRAT,TRUE,,Connecticut,275000,7562,Biden,,,,Rep,Florida,,,,
4042,2020,MISSISSIPPI,"TRUMP, DONALD J.",756764,TRUE,REPUBLICAN,TRUE,,Rhode Island,124000,2466,Biden,,,,Rep,Texas,,,,
4050,2020,MISSOURI,"TRUMP, DONALD J.",1718736,TRUE,REPUBLICAN,TRUE,,D.C.,39844,995,Biden,,,,Rep,Texas,,,,
4051,2020,MISSOURI,"BIDEN, JOSEPH R. JR",1253014,TRUE,DEMOCRAT,TRUE,,,,,,,,,Rep,California,,,,
4061,2020,MONTANA,"TRUMP, DONALD J.",343602,TRUE,REPUBLICAN,TRUE,,,,,,,,,Rep,Florida,,,,
4062,2020,MONTANA,"BIDEN, JOSEPH R. JR",244786,TRUE,DEMOCRAT,TRUE,,,,,,,,,Rep,Kansas,,,,
4067,2020,NEBRASKA,"TRUMP, DONALD J.",556846,TRUE,REPUBLICAN,TRUE,,,,,,,,,Rep,Tennessee,,,,
4068,2020,NEBRASKA,"BIDEN, JOSEPH R. JR",374583,TRUE,DEMOCRAT,TRUE,,,,,,,,,Dem,New Jersey,,,,
4072,2020,NEVADA,"TRUMP, DONALD J.",669890,TRUE,REPUBLICAN,TRUE,,,,,,,,,Dem,Washington,,,,
4073,2020,NEVADA,"BIDEN, JOSEPH R. JR",703486,TRUE,DEMOCRAT,TRUE,,,,,,,,,Dem,Illinois,,,,
4077,2020,NEW HAMPSHIRE,"TRUMP, DONALD J.",365654,TRUE,REPUBLICAN,TRUE,,,,,,,,,Dem,New York,,,,
4078,2020,NEW HAMPSHIRE,"BIDEN, JOSEPH R. JR",424921,TRUE,DEMOCRAT,TRUE,,,,,,,,,Dem,California,,,,
4099,2020,NEW JERSEY,"TRUMP, DONALD J.",1883274,TRUE,REPUBLICAN,TRUE,,,,,,,,,Dem,California,,,,
4100,2020,NEW JERSEY,"BIDEN, JOSEPH R. JR",2608335,TRUE,DEMOCRAT,TRUE,,,,,,,,,Rep,Texas,,,,
4109,2020,NEW MEXICO,"BIDEN, JOSEPH R. JR",501614,TRUE,DEMOCRAT,TRUE,,,,,,,,,Dem,Massachusetts,,,,
4111,2020,NEW MEXICO,"TRUMP, DONALD J.",401894,TRUE,REPUBLICAN,TRUE,,,,,,,,,Dem,Massachusetts,,,,
4113,2020,NEW YORK,"BIDEN, JOSEPH R. JR",5230985,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4114,2020,NEW YORK,"TRUMP, DONALD J.",3244798,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4137,2020,NORTH CAROLINA,"TRUMP, DONALD J.",2758773,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4138,2020,NORTH CAROLINA,"BIDEN, JOSEPH R. JR",2684292,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4144,2020,NORTH DAKOTA,"TRUMP, DONALD J.",235595,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,Died,,,
4145,2020,NORTH DAKOTA,"BIDEN, JOSEPH R. JR",114902,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4148,2020,OHIO,"TRUMP, DONALD J.",3154834,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4149,2020,OHIO,"BIDEN, JOSEPH R. JR",2679165,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4158,2020,OKLAHOMA,"TRUMP, DONALD J.",1020280,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4159,2020,OKLAHOMA,"BIDEN, JOSEPH R. JR",503890,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4164,2020,OREGON,"TRUMP, DONALD J.",958448,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4165,2020,OREGON,"BIDEN, JOSEPH R. JR",1340383,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4170,2020,PENNSYLVANIA,"TRUMP, DONALD J.",3377674,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4171,2020,PENNSYLVANIA,"BIDEN, JOSEPH R. JR",3458229,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4173,2020,RHODE ISLAND,"BIDEN, JOSEPH R. JR",307486,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4174,2020,RHODE ISLAND,"TRUMP, DONALD J.",199922,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4181,2020,SOUTH CAROLINA,"TRUMP, DONALD J.",1385103,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4184,2020,SOUTH CAROLINA,"BIDEN, JOSEPH R. JR",1091541,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4185,2020,SOUTH DAKOTA,"TRUMP, DONALD J.",261043,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4186,2020,SOUTH DAKOTA,"BIDEN, JOSEPH R. JR",150471,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4188,2020,TENNESSEE,"TRUMP, DONALD J.",1852475,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4189,2020,TENNESSEE,"BIDEN, JOSEPH R. JR",1143711,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4201,2020,TEXAS,"TRUMP, DONALD J.",5890347,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4202,2020,TEXAS,"BIDEN, JOSEPH R. JR",5259126,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4216,2020,UTAH,"BIDEN, JOSEPH R. JR",560282,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4222,2020,UTAH,"TRUMP, DONALD J.",865140,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4228,2020,VERMONT,"BIDEN, JOSEPH R. JR",242820,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4229,2020,VERMONT,"TRUMP, DONALD J.",112704,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4252,2020,VIRGINIA,"BIDEN, JOSEPH R. JR",2413568,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4253,2020,VIRGINIA,"TRUMP, DONALD J.",1962430,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4256,2020,WASHINGTON,"BIDEN, JOSEPH R. JR",2369612,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4257,2020,WASHINGTON,"TRUMP, DONALD J.",1584651,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4263,2020,WEST VIRGINIA,"BIDEN, JOSEPH R. JR",235984,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4264,2020,WEST VIRGINIA,"TRUMP, DONALD J.",545382,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4267,2020,WISCONSIN,"BIDEN, JOSEPH R. JR",1630866,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4268,2020,WISCONSIN,"TRUMP, DONALD J.",1610184,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
4280,2020,WYOMING,"BIDEN, JOSEPH R. JR",73491,TRUE,DEMOCRAT,TRUE,,,,,,,,,,,,,,
4281,2020,WYOMING,"TRUMP, DONALD J.",193559,TRUE,REPUBLICAN,TRUE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Biden,15275288,296336,,,,,,28083111,496850,,,,,,,,,,
,,Trump,12807823,200514,,,,,,,,,,,,,,,,,
