,state,tot_cases,new_case,tot_death
956,GU,7622,4.0,129
957,PA,754611,6047.0,18957
958,VA,0,0.0,0
959,FL,65779,1331.0,2801
960,LA,0,0.0,0
961,CT,259372,0.0,7214
962,AK,53991,182.0,278
963,WA,55803,0.0,1564
964,IA,0,0.0,0
965,NM,1345,100.0,31
966,AR,3469,38.0,80
967,RMI,0,0.0,0
968,AR,738,59.0,12
969,NY,891374,3542.0,17674
970,NYC,292718,1930.0,24188
971,SD,0,0.0,0
972,AZ,507222,2799.0,8640
973,AZ,34458,1540.0,1183
974,PR,83119,489.0,1630
975,ND,341,10.0,9
976,OK,8251,20.0,371
977,PR,788,63.0,42
978,NV,0,0.0,0
979,MN,19005,1335.0,851
980,AL,195929,1037.0,2987
981,WY,43146,482.0,373
982,VA,206763,2125.0,3835
983,WI,30227,559.0,784
984,GU,4466,0.0,76
985,KY,3373,181.0,185
986,NM,183781,446.0,3658
987,PW,0,0.0,0
988,AL,999,52.0,13
989,RI,38009,1629.0,1233
990,NH,9917,89.0,469
991,NJ,616032,6311.0,20320
992,RI,95463,1611.0,1890
993,NY,231273,765.0,9164
994,SD,2040,84.0,10
995,NH,4685,34.0,245
996,FL,278667,12548.0,4277
997,VA,140512,857.0,3015
998,AS,0,0.0,0
999,IN,54813,733.0,2803
