Jurisdiction,HHS Region,Doses allocated week of 12/14,Second Dose Shipment (21 days later) week of 12/14,Doses allocated week of 12/21,Second Dose Shipment (21 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (21 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (21 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (21 days later) week of 01/10,Doses allocated for distribution week of 01/18,Second dose shipment for distribution (21 days later) week of 01/18,Doses allocated for distribution week of 01/25,Second dose shipment for distribution (21 days later) week of 01/25,Doses allocated for distribution week of 02/01,Second dose shipment for distribution (21 days later) week of 02/21,Doses allocated for distribution week of 02/08,Second dose shipment for distribution (21 days later) week of 02/08,"Total Pfizer Allocation ""First Dose"" Shipments","Total Allocation Pfizer ""Second Dose"" Shipments"
Colorado,Region 8,"46,800","46,800","33,150","33,150","42,900","42,900","33,150","33,150","33,150","33,150","35,100","35,100","35,100","35,100","34,125","34,125","35,100","35,100","328,575","328,575"
Montana,Region 8,"9,750","9,750","6,825","6,825","8,775","8,775","6,825","6,825","6,825","6,825","6,825","6,825","6,825","6,825","6,825","6,825","6,825","6,825","66,300","66,300"
North Dakota***,Region 8,"6,825","6,825","4,875","4,875","5,850","5,850","4,875","4,875","4,875","4,875","4,875","4,875","4,875","4,875","4,875","4,875","4,875","4,875","46,800","46,800"
South Dakota,Region 8,"7,800","7,800","5,850","5,850","6,825","6,825","5,850","5,850","5,850","5,850","5,850","5,850","5,850","5,850","5,850","5,850","5,850","5,850","55,575","55,575"
Utah***,Region 8,"23,400","23,400","16,575","16,575","21,450","21,450","16,575","16,575","16,575","16,575","17,550","17,550","17,550","17,550","17,550","17,550","17,550","17,550","164,775","164,775"
Wyoming,Region 8,"4,875","4,875","3,900","3,900","4,875","4,875","3,900","3,900","3,900","3,900","3,900","3,900","3,900","3,900","3,900","3,900","3,900","3,900","37,050","37,050"
Arizona***,Region 9,"58,500","58,500","41,925","41,925","53,625","53,625","41,925","41,925","41,925","41,925","42,900","42,900","42,900","42,900","42,900","42,900","42,900","42,900","409,500","409,500"
California,Region 9,"327,600","327,600","233,025","233,025","297,375","297,375","232,050","232,050","233,025","233,025","241,800","241,800","241,800","241,800","240,825","240,825","241,800","241,800","2,289,300","2,289,300"
Hawaii,Region 9,"12,675","12,675","8,775","8,775","11,700","11,700","8,775","8,775","8,775","8,775","9,750","9,750","9,750","9,750","9,750","9,750","9,750","9,750","89,700","89,700"
Nevada,Region 9,"25,350","25,350","17,550","17,550","22,425","22,425","17,550","17,550","17,550","17,550","18,525","18,525","18,525","18,525","18,525","18,525","18,525","18,525","174,525","174,525"
American Samoa**,Region 9,"5,850",N/A,N/A,N/A,N/A,N/A,"7,800",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7,800",N/A,N/A,N/A,"21,450",0
Guam**,Region 9,"11,700",N/A,N/A,N/A,N/A,N/A,"7,800",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7,800",N/A,N/A,N/A,"27,300",0
Marshall Islands*,Region 9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Micronesia*,Region 9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Mariana Islands**,Region 9,"5,850",N/A,N/A,N/A,N/A,N/A,"7,800",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7,800",N/A,N/A,N/A,"21,450",0
Palau*,Region 9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Alaska***,Region 10,"35,100","35,100",N/A,N/A,N/A,N/A,"27,300","27,300",N/A,N/A,N/A,N/A,N/A,N/A,"27,300","27,300",N/A,N/A,"89,700","89,700"
Idaho,Region 10,"13,650","13,650","9,750","9,750","12,675","12,675","9,750","9,750","9,750","9,750","10,725","10,725","10,725","10,725","10,725","10,725","10,725","10,725","98,475","98,475"
Oregon***,Region 10,"35,100","35,100","25,350","25,350","32,175","32,175","25,350","25,350","25,350","25,350","26,325","26,325","26,325","26,325","26,325","26,325","26,325","26,325","248,625","248,625"
Washington***,Region 10,"62,400","62,400","44,850","44,850","57,525","57,525","44,850","44,850","57,525","57,525","46,800","46,800","46,800","46,800","45,825","45,825","46,800","46,800","453,375","453,375"
Federal Entities ****,N/A,156000,142350,"102,375","102,375","128,700","128,700","117,000","101,400","102,375","102,375","105,300","105,300","105,300","105,300","119,925","104,325","105,300","105,300","1,042,275","997,425"
Total,,"2,980,575","2,943,525","2,071,875","2,071,875","2,643,225","2,643,225","2,131,350","2,092,350","2,084,550","2,084,550","2,149,875","2,149,875","2,149,875","2,149,875","2,204,475","2,165,475","2,149,875","2,149,875",,
