,date,location,total_vaccinations,total_distributed,people_vaccinated,share_doses_used,,
2700,2/18/2021,Virginia,1503786,1714800,1076555,0.877,,
2701,2/19/2021,Virginia,1645485,1942700,1154362,0.847,,
2702,2/20/2021,Virginia,1671217,1948550,1162487,0.858,,
2703,2/21/2021,Virginia,1705294,1949525,1172647,0.875,,
2704,2/22/2021,Virginia,1735451,1949525,1183068,0.89,,
2705,2/23/2021,Virginia,1765927,2283165,1197154,0.773,,
2706,2/24/2021,Virginia,1803505,2360275,1213282,0.764,,
2707,1/12/2021,Washington,195567,567725,162105,0.344,,
2708,1/13/2021,Washington,208238,572600,169650,0.364,,
2709,1/14/2021,Washington,225238,655575,187450,0.344,,
2710,1/15/2021,Washington,242606,696175,200682,0.348,,
2711,1/16/2021,Washington,,,,,,
2712,1/17/2021,Washington,,,,,,
2713,1/18/2021,Washington,,,,,,
2714,1/19/2021,Washington,321200,696175,265507,0.461,,
2715,1/20/2021,Washington,346765,805000,286500,0.431,,
2716,1/21/2021,Washington,373423,820875,306942,0.455,,
2717,1/22/2021,Washington,403135,829950,330357,0.486,,
2718,1/23/2021,Washington,436997,846625,359217,0.516,,
2719,1/24/2021,Washington,449385,846625,370231,0.531,,
2720,1/25/2021,Washington,488785,846625,404326,0.577,,
2721,1/26/2021,Washington,507610,960800,420728,0.528,,
2722,1/27/2021,Washington,534445,981050,441895,0.545,,
2723,1/28/2021,Washington,571135,1003550,468528,0.569,,
2724,1/29/2021,Washington,607071,1005500,496008,0.604,,
2725,1/30/2021,Washington,643951,1031400,524466,0.624,,
2726,1/31/2021,Washington,684344,1031400,555505,0.664,,
2727,2/1/2021,Washington,720603,1031400,582420,0.699,,
2728,2/2/2021,Washington,741769,1129025,599313,0.657,,
2729,2/3/2021,Washington,765954,1163675,616340,0.658,,
2730,2/4/2021,Washington,797358,1168625,637940,0.682,,
2731,2/5/2021,Washington,827944,1172525,658508,0.706,,
2732,2/6/2021,Washington,867773,1208600,684484,0.718,,
2733,2/7/2021,Washington,905118,1208600,709023,0.749,,
2734,2/8/2021,Washington,937926,1208600,731739,0.776,,
2735,2/9/2021,Washington,951204,1364750,740234,0.697,,
2736,2/10/2021,Washington,1008946,1405100,780179,0.718,,
2737,2/11/2021,Washington,1040044,1429050,797359,0.728,,
2738,2/12/2021,Washington,1080510,1437825,819728,0.751,,
2739,2/13/2021,Washington,1121779,1437825,844801,0.78,,
2740,2/14/2021,Washington,1166471,1437825,870853,0.811,,
2741,2/15/2021,Washington,,,,,,
2742,2/16/2021,Washington,1201284,1453425,890282,0.827,,
2743,2/17/2021,Washington,1225920,1500225,898805,0.817,,
2744,2/18/2021,Washington,1255764,1500325,914138,0.837,,
2745,2/19/2021,Washington,1362197,1601125,982469,0.851,,
2746,2/20/2021,Washington,1407229,1619340,1001775,0.869,,
2747,2/21/2021,Washington,1444507,1619340,1016677,0.892,,
2748,2/22/2021,Washington,1479352,1619340,1027798,0.914,,
2749,2/23/2021,Washington,1493572,1920320,1033551,0.778,,
2750,2/24/2021,Washington,1514416,2013420,1042072,0.752,,
2751,1/12/2021,West Virginia,103330,160975,,0.642,,
2752,1/13/2021,West Virginia,110709,160975,,0.688,,
2753,1/14/2021,West Virginia,118660,160975,99061,0.737,,
2754,1/15/2021,West Virginia,134207,205475,113034,0.653,,
2755,1/16/2021,West Virginia,,,,,,
2756,1/17/2021,West Virginia,,,,,,
2757,1/18/2021,West Virginia,,,,,,
2758,1/19/2021,West Virginia,152657,205475,128923,0.743,,
2759,1/20/2021,West Virginia,158621,231800,132929,0.684,,
2760,1/21/2021,West Virginia,167548,231800,135950,0.723,,
2761,1/22/2021,West Virginia,180762,231800,145361,0.78,,
2762,1/23/2021,West Virginia,194844,243100,156854,0.801,,
2763,1/24/2021,West Virginia,202883,243100,163801,0.835,,
2764,1/25/2021,West Virginia,203992,243100,164528,0.839,,
2765,1/26/2021,West Virginia,210492,278400,167660,0.756,,
2766,1/27/2021,West Virginia,214926,278400,169671,0.772,,
2767,1/28/2021,West Virginia,224604,278400,173750,0.807,,
2768,1/29/2021,West Virginia,239963,278400,181839,0.862,,
2769,1/30/2021,West Virginia,256401,305200,191225,0.84,,
2770,1/31/2021,West Virginia,259774,305200,192580,0.851,,
2771,2/1/2021,West Virginia,260325,305200,192951,0.853,,
2772,2/2/2021,West Virginia,264205,325100,194301,0.813,,
2773,2/3/2021,West Virginia,268065,328600,195200,0.816,,
2774,2/4/2021,West Virginia,276753,328600,197939,0.842,,
2775,2/5/2021,West Virginia,291819,328600,203731,0.888,,
2776,2/6/2021,West Virginia,314870,357000,214301,0.882,,
2777,2/7/2021,West Virginia,322046,357000,217613,0.902,,
2778,2/8/2021,West Virginia,323387,357000,218266,0.906,,
2779,2/9/2021,West Virginia,327414,380400,219723,0.861,,
2780,2/10/2021,West Virginia,332577,380400,222233,0.874,,
2781,2/11/2021,West Virginia,340780,387400,226323,0.88,,
2782,2/12/2021,West Virginia,351427,387700,230596,0.906,,
2783,2/13/2021,West Virginia,376113,395600,242233,0.951,,
2784,2/14/2021,West Virginia,386583,395600,247689,0.977,,
2785,2/15/2021,West Virginia,,,,,,
2786,2/16/2021,West Virginia,393643,429800,250814,0.916,,
2787,2/17/2021,West Virginia,396009,441500,251627,0.897,,
2788,2/18/2021,West Virginia,403532,441500,254778,0.914,,
2789,2/19/2021,West Virginia,440614,481225,279255,0.916,,
2790,2/20/2021,West Virginia,458087,481225,288262,0.952,,
2791,2/21/2021,West Virginia,463513,481225,290411,0.963,,
2792,2/22/2021,West Virginia,465593,481225,291272,0.968,,
2793,2/23/2021,West Virginia,470643,512865,293891,0.918,,
2794,2/24/2021,West Virginia,474477,556135,295452,0.853,,
2795,1/12/2021,Wisconsin,137253,429500,125895,0.32,,
2796,1/13/2021,Wisconsin,137253,435900,125895,0.315,,
2797,1/14/2021,Wisconsin,149955,437900,135841,0.342,,
2798,1/15/2021,Wisconsin,169803,437900,151387,0.388,,
2799,1/16/2021,Wisconsin,,,,,,
2800,1/17/2021,Wisconsin,,,,,,
2801,1/18/2021,Wisconsin,,,,,,
2802,1/19/2021,Wisconsin,213498,437900,188144,0.488,,
2803,1/20/2021,Wisconsin,222492,538325,193461,0.413,,
2804,1/21/2021,Wisconsin,238758,577325,204746,0.414,,
2805,1/22/2021,Wisconsin,260821,597225,221067,0.437,,
2806,1/23/2021,Wisconsin,285630,610100,241512,0.468,,
2807,1/24/2021,Wisconsin,308290,610100,260664,0.505,,
2808,1/25/2021,Wisconsin,315876,610100,266481,0.518,,
2809,1/26/2021,Wisconsin,318096,685100,268091,0.464,,
2810,1/27/2021,Wisconsin,335519,790400,281166,0.424,,
2811,1/28/2021,Wisconsin,361917,793050,302339,0.456,,
2812,1/29/2021,Wisconsin,406869,793750,339296,0.513,,
2813,1/30/2021,Wisconsin,450251,795050,375931,0.566,,
2814,1/31/2021,Wisconsin,491058,795050,409614,0.618,,
2815,2/1/2021,Wisconsin,513385,795050,429609,0.646,,
2816,2/2/2021,Wisconsin,522034,900250,437456,0.58,,
2817,2/3/2021,Wisconsin,548172,922900,457768,0.594,,
2818,2/4/2021,Wisconsin,548912,925800,458321,0.593,,
2819,2/5/2021,Wisconsin,595152,926300,491942,0.643,,
2820,2/6/2021,Wisconsin,638241,926300,521331,0.689,,
2821,2/7/2021,Wisconsin,742527,926300,581413,0.802,,
2822,2/8/2021,Wisconsin,763252,926300,595912,0.824,,
2823,2/9/2021,Wisconsin,769314,1045950,600268,0.736,,
2824,2/10/2021,Wisconsin,796703,1059200,619711,0.752,,
2825,2/11/2021,Wisconsin,826275,1080700,640058,0.765,,
2826,2/12/2021,Wisconsin,864476,1080800,664353,0.8,,
2827,2/13/2021,Wisconsin,916129,1082100,689583,0.847,,
2828,2/14/2021,Wisconsin,955412,1082100,709908,0.883,,
2829,2/15/2021,Wisconsin,,,,,,
2830,2/16/2021,Wisconsin,991691,1223525,736864,0.811,,
2831,2/17/2021,Wisconsin,1012491,1238725,748247,0.817,,
2832,2/18/2021,Wisconsin,1040145,1243125,762117,0.837,,
2833,2/19/2021,Wisconsin,1137395,1300325,818760,0.875,,
2834,2/20/2021,Wisconsin,1188631,1301825,841506,0.913,,
2835,2/21/2021,Wisconsin,1230619,1301825,858185,0.945,,
2836,2/22/2021,Wisconsin,1252322,1301825,867121,0.962,,
2837,2/23/2021,Wisconsin,1259647,1401205,869836,0.899,,
2838,2/24/2021,Wisconsin,1282723,1447395,878042,0.886,,
2839,1/12/2021,Wyoming,16467,47800,13577,0.344,,
2840,1/13/2021,Wyoming,17794,57800,14406,0.308,,
2841,1/14/2021,Wyoming,19776,58775,17310,0.336,,
2842,1/15/2021,Wyoming,22745,58775,19931,0.387,,
2843,1/16/2021,Wyoming,,,,,,
2844,1/17/2021,Wyoming,,,,,,
2845,1/18/2021,Wyoming,,,,,,
2846,1/19/2021,Wyoming,28057,58775,24788,0.477,,
2847,1/20/2021,Wyoming,29309,62575,25841,0.468,,
2848,1/21/2021,Wyoming,29309,67450,25841,0.435,,
2849,1/22/2021,Wyoming,34547,69650,29993,0.496,,
2850,1/23/2021,Wyoming,37559,70750,32746,0.531,,
2851,1/24/2021,Wyoming,40803,70750,35868,0.577,,
2852,1/25/2021,Wyoming,41156,70750,36215,0.582,,
2853,1/26/2021,Wyoming,41339,71725,36398,0.576,,
2854,1/27/2021,Wyoming,43425,82825,37963,0.524,,
2855,1/28/2021,Wyoming,43425,82825,37963,0.524,,
2856,1/29/2021,Wyoming,49166,85750,41441,0.573,,
2857,1/30/2021,Wyoming,49166,85750,41441,0.573,,
2858,1/31/2021,Wyoming,57023,85750,47639,0.665,,
2859,2/1/2021,Wyoming,58721,85750,48155,0.685,,
2860,2/2/2021,Wyoming,59018,89450,48255,0.66,,
2861,2/3/2021,Wyoming,60775,97750,49361,0.622,,
2862,2/4/2021,Wyoming,60775,97750,49361,0.622,,
2863,2/5/2021,Wyoming,67417,101650,53630,0.663,,
2864,2/6/2021,Wyoming,71858,101650,56076,0.707,,
2865,2/7/2021,Wyoming,71858,101650,56076,0.707,,
2866,2/8/2021,Wyoming,76457,101650,58775,0.752,,
2867,2/9/2021,Wyoming,76457,113175,58775,0.676,,
2868,2/10/2021,Wyoming,79515,117475,61170,0.677,,
2869,2/11/2021,Wyoming,79515,118875,61170,0.669,,
2870,2/12/2021,Wyoming,89138,122000,65857,0.731,,
2871,2/13/2021,Wyoming,89138,122000,65857,0.731,,
2872,2/14/2021,Wyoming,99099,122200,71653,0.811,,
2873,2/15/2021,Wyoming,,,,,,
2874,2/16/2021,Wyoming,100186,122200,72339,0.82,,
2875,2/17/2021,Wyoming,100186,127075,72339,0.788,,
2876,2/18/2021,Wyoming,105426,127075,74983,0.83,,
2877,2/19/2021,Wyoming,124310,150005,87289,0.829,,
2878,2/20/2021,Wyoming,129060,150905,89346,0.855,,
2879,2/21/2021,Wyoming,129470,150905,89605,0.858,,
2880,2/22/2021,Wyoming,135635,150905,91931,0.899,,
2881,2/23/2021,Wyoming,136163,167025,92151,0.815,,
2882,2/24/2021,Wyoming,136366,172465,92216,0.791,,
