,submission_date,state,tot_cases,tot_death
857,2020-09-09T00:00:00.000,CO,59920,1977
279,2020-04-10T00:00:00.000,CO,6365,250
944,2020-05-30T00:00:00.000,CO,26098,1443
937,2021-02-24T00:00:00.000,CO,423558,5917
508,2020-03-31T00:00:00.000,CO,2966,69
421,2020-09-04T00:00:00.000,CO,58655,1966
477,2020-09-02T00:00:00.000,CO,58019,1952
73,2021-01-15T00:00:00.000,CT,223422,6594
540,2020-06-19T00:00:00.000,CT,45557,4238
893,2020-04-23T00:00:00.000,CT,23100,1639
596,2021-02-24T00:00:00.000,CT,278184,7595
169,2020-06-16T00:00:00.000,CT,45349,4210
230,2020-11-10T00:00:00.000,CT,82987,4707
352,2020-10-26T00:00:00.000,CT,68099,4589
921,2020-04-12T00:00:00.000,CT,12035,554
618,2020-03-12T00:00:00.000,CT,7,0
341,2020-05-10T00:00:00.000,CT,33554,2967
584,2020-12-20T00:00:00.000,CT,162782,5581
133,2020-07-05T00:00:00.000,CT,46717,4335
115,2020-04-17T00:00:00.000,CT,16809,1036
961,2021-02-06T00:00:00.000,CT,259372,7214
241,2020-05-29T00:00:00.000,CT,41762,3868
238,2020-06-20T00:00:00.000,CT,45715,4251
761,2021-01-21T00:00:00.000,CT,235796,6774
485,2020-01-31T00:00:00.000,CT,0,0
951,2020-05-04T00:00:00.000,DC,5170,258
892,2020-10-04T00:00:00.000,DC,15519,631
880,2020-03-15T00:00:00.000,DC,17,0
588,2020-08-12T00:00:00.000,DC,12959,593
158,2020-02-16T00:00:00.000,DC,0,0
124,2020-12-26T00:00:00.000,DC,27710,762
790,2021-02-17T00:00:00.000,DC,39180,985
151,2020-02-08T00:00:00.000,DC,0,0
155,2020-07-23T00:00:00.000,DC,11571,581
23,2020-11-08T00:00:00.000,DE,26603,718
212,2020-04-29T00:00:00.000,DE,4734,152
929,2020-02-25T00:00:00.000,DE,0,0
751,2020-03-31T00:00:00.000,DE,319,10
217,2020-03-04T00:00:00.000,DE,0,0
45,2020-10-14T00:00:00.000,DE,22465,660
254,2020-09-01T00:00:00.000,DE,17535,605
95,2020-04-16T00:00:00.000,DE,2075,52
789,2020-12-11T00:00:00.000,DE,44876,815
911,2020-05-14T00:00:00.000,DE,7373,271
41,2020-07-12T00:00:00.000,DE,12879,517
13,2020-11-17T00:00:00.000,DE,29755,742
89,2021-02-22T00:00:00.000,DE,85090,1368
715,2020-06-03T00:00:00.000,DE,9746,386
390,2021-02-03T00:00:00.000,DE,78982,1130
274,2020-02-22T00:00:00.000,DE,0,0
265,2020-10-23T00:00:00.000,DE,23687,678
310,2020-12-27T00:00:00.000,DE,55057,897
440,2020-03-18T00:00:00.000,DE,26,0
528,2020-11-05T00:00:00.000,DE,25753,716
199,2020-10-02T00:00:00.000,DE,21125,645
625,2020-04-21T00:00:00.000,DE,3200,89
337,2020-09-08T00:00:00.000,DE,18308,609
774,2020-02-10T00:00:00.000,FL,0,0
959,2020-06-10T00:00:00.000,FL,65779,2801
996,2020-07-13T00:00:00.000,FL,278667,4277
245,2020-10-03T00:00:00.000,FL,705938,14628
475,2020-02-29T00:00:00.000,FL,0,0
100,2020-09-19T00:00:00.000,FL,673194,13287
788,2020-10-10T00:00:00.000,FL,720001,15186
322,2021-01-26T00:00:00.000,FL,1637296,25673
231,2020-09-30T00:00:00.000,FL,698051,14317
494,2020-12-03T00:00:00.000,FL,1012456,18874
602,2020-03-13T00:00:00.000,FL,31,2
91,2020-01-23T00:00:00.000,FL,0,0
689,2021-01-17T00:00:00.000,FL,1542567,24137
574,2020-07-22T00:00:00.000,FL,374920,5345
412,2021-02-19T00:00:00.000,FL,1822644,29692
157,2020-09-16T00:00:00.000,FL,663234,12939
938,2021-02-18T00:00:00.000,FL,1816108,29474
257,2020-03-13T00:00:00.000,FSM,0,0
